product_name,average_review_rating,amazon_category_and_sub_category,number_of_reviews,customers_who_bought_this_item_also_bought,items_customers_buy_after_viewing_this_item
Hornby 2014 Catalogue,4.9,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,15.0,Hornby-R8150-Catalogue-2015 > Hornby-Book-Model-Railways-Edition > Hornby-Book-Scenic-Railway-Modelling > Peco-60-Plans-Book > Hornby-Gloucester  > Airfix-5014429781902,Hornby-R8150-Catalogue-2015 > Hornby-Book-Model-Railways-Edition > Peco-60-Plans-Book > Newcomers-Guide-Model-Railways-Step
FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,4.5,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,2.0,Christmas-Holiday-Express-Festive-Train-Set-Toy > Goldlok-Holiday-Express-Operated-Multi-Colour > FunkyBuys%C2%AE-Christmas-SI-TY1017-Ornaments-Operated > Holiday-Express-Christmas-Ornament-Decoration  > Seasonal-Vision-Christmas-Tree-Train > Coca-Cola-Santa-Express-Train-Set,Christmas-Holiday-Express-Festive-Train-Set-Toy > Goldlok-Holiday-Express-Operated-Multi-Colour > FunkyBuys%C2%AE-Christmas-SI-TY1017-Ornaments-Operated > Holiday-Express-Christmas-Ornament-Decoration
CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,3.9,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,17.0,Classic-Train-Lights-Battery-Operated > Train-With-Tracks-Battery-Operated-x > 13-Piece-Train-Set-Ideal > Train-Flash-Electric-Sound-Europe > Train-Ultimate-Sticker-Book-Stickers > Train-Stickers-Dover-Little-Activity,Train-With-Tracks-Battery-Operated-x > Classic-Train-Lights-Battery-Operated > Train-Flash-Electric-Sound-Europe > 13-Piece-Train-Set-Ideal
HORNBY Coach R4410A BR Hawksworth Corridor 3rd,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,1.0,,
Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,4.7,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,3.0,Hornby-R6367-RailRoad-Gauge-Rolling > Hornby-R3064-RailRoad-Smokey-Locomotive  > Hornby-R8222-Gauge-Track-Extension > Hornby-R6371-RailRoad-Petrol-Tanker > Hornby-R076-00-Gauge-Footbridge  > Hornby-R6368-RailRoad-Gauge-Brake,Hornby-R2672-RailRoad-Caledonian  > Hornby-R3064-RailRoad-Smokey-Locomotive  > Hornby-Railroad-Transatlanic  > Hornby-R8222-Gauge-Track-Extension
20pcs Model Garden Light Double Heads Lamppost Scale 1:100,5.0,Hobbies > Model Trains & Railway Sets > Lighting & Signal Engineering > Lamps & Lighting,2.0,Single-Head-Garden-Lights-Lamppost-Layout > douself-100Pcs-OO-Scale-Passenger > Hornby-Digital-Electric-Point-Track > 20Pcs-Scenery-Landscape-Train-Flowers > Scenery-Landscape-100-Made-Plastic-Cement,Single-Head-Garden-Lights-Lamppost-Layout > Model-Scene-Gas-Lamp-Posts > 12pcs-1-2-inch-Scenery-Landscape > douself-100Pcs-OO-Scale-Passenger
Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),4.5,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,2.0,Hornby-R4388-RailRoad-Composite-Gauge > Hornby-R1138-Passenger-Freight-Electric,
Hornby Santa's Express Train Set,4.3,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,36.0,Hornby-R8221-Gauge-Track-Extension > Hornby-R8222-Gauge-Track-Extension > Hornby-R6368-RailRoad-Gauge-Brake > Hornby-R6370-RailRoad-Tredegar-Gauge > Hornby-R044-Passing-Contact-Switch > Hornby-Gauge-Logan-Plank-Wagon,Hornby-R1151-Caledonian  > Hornby-R8222-Gauge-Track-Extension > Hornby-R3064-RailRoad-Smokey-Locomotive  > Hornby-Hobbies-Santa-Express-Train
Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,5.0,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,1.0,Hornby-Western-Master-E-Link-Electric > Hornby-Gloucester  > Hornby-Majestic-E-Link-Gauge-Electric > Hornby-Gauge-Master-Glens > Hornby-Gauge-Eurostar-2014-Train > HORNBY-Digital-Train-Layout-Track,Hornby-Western-Master-E-Link-Electric > Hornby-R8224-Gauge-Track-Extension > Hornby-Gloucester  > Hornby-R8222-Gauge-Track-Extension
Learning Curve Chuggington Interactive Chatsworth,4.8,Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,8.0,Learning-Curve-Chuggington  > Chuggington  > Learning-Curve-Chuggington  > Learning-Chuggington,Chuggington  > Learning-Chuggington  > Chuggington  > Learning-Curve-Chuggington
